conference_id,conference_name
-2,Not applicable
-1,Not reported
101,America East
102,Atlantic Coast Conference
103,Atlantic 10 Conference
104,Big East Conference
105,Big Sky Conference
106,Big South Conference
107,Big Ten Conference
108,Big Twelve Conference
109,Big West Conference
110,Colonial Athletic Association
111,Conference USA
112,Division I Independents
113,Division I-A Independents
114,Division I-AA Independents
115,Eastern College Athletic Conference
116,Gateway Football Conference
117,Ivy Group
118,Metro Atlantic Athletic Conference
119,Mid-American Conference
120,The Summit League
121,Mid-Eastern Athletic Conference
122,Horizon League
123,Missouri Valley Conference
125,Northeast Conference
126,Ohio Valley Conference
127,Pacific-12 Conference
128,Patriot League
129,Pioneer Football League
130,Southeastern Conference
131,Southern Conference
132,Southland Conference
133,Southwestern Athletic Conference
134,Sun Belt Conference
135,Atlantic Sun Conference
136,West Coast Conference
137,Western Athletic Conference
138,California Collegiate Athletic Assoc
139,Conference Carolinas
140,Central Intercollegiate Athletic Assoc
141,Division II Independents
144,Great Lakes Intercollegiate Athletic Conf
145,Great Lakes Valley Conference
146,Gulf South Conference
147,Lone Star Conference
148,Mid-America Intercollegiate Athletic Assoc
151,East Coast Conference
153,Northeast 10 Conference
155,Northern Sun Intercollegiate Conference
156,Pacific West Conference
157,Peach Belt Conference
158,Pennsylvania State Athletic Conference
159,Rocky Mountain Athletic Conference
160,South Atlantic Conference
161,Southern Intercollegiate Athletic Conf
162,Sunshine State Conference
163,West Virginia Intercollegiate Athletic Conference
164,Capital Athletic Conference
165,Centennial Conference
166,City University of New York Athletic Conf
167,College Conference of Illinois and Wisc
168,Commonwealth Coast Conference
170,Division III Independents
171,USA South Athletic Conference
172,Empire Eight
173,Freedom Football Conference
174,Great Northeast Athletic Conference
175,Heartland Collegiate Athletic Conference
176,Iowa Intercollegiate Athletic Conf
178,Little East Conference
179,Massachusetts State College Athletic Assoc
180,Michigan Intercollegiate Athletic Assoc
181,Middle Atlantic States Athletic Corporation
182,Midwest Conference
183,Minnesota Intercollegiate Athletic Conf
184,New England Football Conference
185,New England Small College Athletic Conf
186,New England Women's & Men's Athletic Conference
187,New Jersey Athletic Conference
189,North Coast Athletic Conference
191,Ohio Athletic Conference
192,Old Dominion Athletic Conference
193,Pennsylvania Athletic Conference
194,Presidents' Athletic Conference
195,St. Louis Intercollegiate Athletic Conf
196,Skyline Conference
197,Southern California Intercoll Athletic Conf
198,Southern Collegiate Athletic Conference
199,State University of New York Athletic Conf
200,University Athletic Association
201,Upstate Collegiate Athletic Association
202,Wisconsin Intercollegiate Athletic Conference
203,Mountain West Conference
204,American Southwest Conference
205,Northwest Conference
207,Commonwealth Conference
208,Freedom Conference
209,Heartland Conference
213,Great Northwest Athletic Conference
214,Allegheny Mountain Collegiate Conference
215,North Atlantic Conference
301,California Pacific Conference
302,Golden State Athletic Conference
303,Independent Far West Region
304,Chicagoland Collegiate Athletic Conf
305,Crossroads League
306,American Mideast Conference
307,Wolverine-Hoosier Athletic Conference
308,Independent Great Lakes Region
309,Kansas Collegiate Athletic Conf
310,Midlands Collegiate Athletic Conf
311,Great Plains Athletic Conference
314,Kentucky Intercollegiate Athletic Conf
315,Mid-South Conference
316,Appalachian Athletic Conference
317,TranSouth Athletic Conference
318,Independent Mid-South Region
319,American Midwest Conference
320,Heart of America Athletic Conference
321,Midwest Classic Conference
322,Independent Midwest Region
323,Central Atlantic Collegiate Conf
327,Independent Northeast Region
328,Cascade Collegiate Conference
331,Independent Pacific Northwest Region
333,Florida Sun Conference
334,Southern States Athletic Conference
335,Independent Southeast Region
337,Gulf Coast Athletic Conference
340,Sooner Athletic Conference
342,Other
352,Frontier Conference
353,Red River Athletic Conference
354,Upper Midwest Athletic Conference
355,Central States Football League
356,Mid-States Football Association
359,Northern Athletics Collegiate Conference
361,Landmark Conference
363,New England Collegiate Conference
364,Colonial States Athletic Conference
365,North Eastern Athletic Conference
366,Eastern Collegiate Football Conference
367,Great American Conference
368,Southern Athletic Association
369,Association of Independent Institutions
370,Mountain East Conference
371,Great Midwest Athletic Conference
372,American Athletic Conference
373,North Star Athletic Association
374,River States
