"csa_id","csa_name"
"-2","Not applicable"
"104","Albany-Schenectady, NY"
"106","Albuquerque-Santa Fe-Las Vegas, NM"
"108","Amarillo-Borger, TX"
"118","Appleton-Oshkosh-Neenah, WI"
"120","Asheville-Brevard, NC"
"122","Atlanta--Athens-Clarke County--Sandy Springs, GA"
"140","Bend-Redmond-Prineville, OR"
"142","Birmingham-Hoover-Talladega, AL"
"144","Bloomington-Bedford, IN"
"145","Bloomington-Pontiac, IL"
"146","Bloomsburg-Berwick-Sunbury, PA"
"147","Boise City-Mountain Home-Ontario, ID-OR"
"148","Boston-Worcester-Providence, MA-RI-NH-CT"
"150","Bowling Green-Glasgow, KY"
"154","Brownsville-Harlingen-Raymondville, TX"
"160","Buffalo-Cheektowaga, NY"
"162","Cape Coral-Fort Myers-Naples, FL"
"164","Cape Girardeau-Sikeston, MO-IL"
"168","Cedar Rapids-Iowa City, IA"
"170","Charleston-Huntington-Ashland, WV-OH-KY"
"172","Charlotte-Concord, NC-SC"
"174","Chattanooga-Cleveland-Dalton, TN-GA-AL"
"176","Chicago-Naperville, IL-IN-WI"
"178","Cincinnati-Wilmington-Maysville, OH-KY-IN"
"184","Cleveland-Akron-Canton, OH"
"185","Cleveland-Indianola, MS"
"188","Clovis-Portales, NM"
"190","Columbia-Moberly-Mexico, MO"
"192","Columbia-Orangeburg-Newberry, SC"
"194","Columbus-Auburn-Opelika, GA-AL"
"198","Columbus-Marion-Zanesville, OH"
"200","Columbus-West Point, MS"
"204","Corpus Christi-Kingsville-Alice, TX"
"206","Dallas-Fort Worth, TX-OK"
"209","Davenport-Moline, IA-IL"
"212","Dayton-Springfield-Sidney, OH"
"216","Denver-Aurora, CO"
"218","Des Moines-Ames-West Des Moines, IA"
"220","Detroit-Warren-Ann Arbor, MI"
"221","Dixon-Sterling, IL"
"222","Dothan-Enterprise-Ozark, AL"
"232","Eau Claire-Menomonie, WI"
"233","Edwards-Glenwood Springs, CO"
"236","Elmira-Corning, NY"
"238","El Paso-Las Cruces, TX-NM"
"240","Erie-Meadville, PA"
"244","Fargo-Wahpeton, ND-MN"
"246","Fayetteville-Lumberton-Laurinburg, NC"
"248","Findlay-Tiffin, OH"
"258","Fort Wayne-Huntington-Auburn, IN"
"260","Fresno-Madera, CA"
"264","Gainesville-Lake City, FL"
"266","Grand Rapids-Wyoming-Muskegon, MI"
"267","Green Bay-Shawano, WI"
"268","Greensboro--Winston-Salem--High Point, NC"
"273","Greenville-Spartanburg-Anderson, SC"
"274","Greenville-Washington, NC"
"276","Harrisburg-York-Lebanon, PA"
"277","Harrisonburg-Staunton-Waynesboro, VA"
"278","Hartford-West Hartford, CT"
"280","Hickory-Lenoir, NC"
"284","Hot Springs-Malvern, AR"
"288","Houston-The Woodlands, TX"
"290","Huntsville-Decatur-Albertville, AL"
"292","Idaho Falls-Rexburg-Blackfoot, ID"
"294","Indianapolis-Carmel-Muncie, IN"
"296","Ithaca-Cortland, NY"
"297","Jackson-Brownsville, TN"
"298","Jackson-Vicksburg-Brookhaven, MS"
"300","Jacksonville-St. Marys-Palatka, FL-GA"
"304","Johnson City-Kingsport-Bristol, TN-VA"
"306","Johnstown-Somerset, PA"
"308","Jonesboro-Paragould, AR"
"309","Joplin-Miami, MO-OK"
"310","Kalamazoo-Battle Creek-Portage, MI"
"312","Kansas City-Overland Park-Kansas City, MO-KS"
"314","Knoxville-Morristown-Sevierville, TN"
"316","Kokomo-Peru, IN"
"318","Lafayette-Opelousas-Morgan City, LA"
"320","Lafayette-West Lafayette-Frankfort, IN"
"324","Lake Charles-Jennings, LA"
"330","Lansing-East Lansing-Owosso, MI"
"332","Las Vegas-Henderson, NV-AZ"
"336","Lexington-Fayette--Richmond--Frankfort, KY"
"338","Lima-Van Wert-Celina, OH"
"339","Lincoln-Beatrice, NE"
"340","Little Rock-North Little Rock, AR"
"346","Longview-Marshall, TX"
"348","Los Angeles-Long Beach, CA"
"350","Louisville/Jefferson County--Elizabethtown--Madison, KY-IN"
"352","Lubbock-Levelland, TX"
"356","Macon-Bibb County--Warner Robins, GA"
"357","Madison-Janesville-Beloit, WI"
"358","Manhattan-Junction City, KS"
"359","Mankato-New Ulm-North Mankato, MN"
"360","Mansfield-Ashland-Bucyrus, OH"
"362","Martin-Union City, TN-KY"
"364","MayagÃ¼ez-San GermÃ¡n, PR"
"365","McAllen-Edinburg, TX"
"366","Medford-Grants Pass, OR"
"368","Memphis-Forrest City, TN-MS-AR"
"370","Miami-Fort Lauderdale-Port St. Lucie, FL"
"372","Midland-Odessa, TX"
"376","Milwaukee-Racine-Waukesha, WI"
"378","Minneapolis-St. Paul, MN-WI"
"380","Mobile-Daphne-Fairhope, AL"
"382","Modesto-Merced, CA"
"384","Monroe-Ruston-Bastrop, LA"
"390","Morgantown-Fairmont, WV"
"393","Moses Lake-Othello, WA"
"394","Mount Pleasant-Alma, MI"
"396","Myrtle Beach-Conway, SC-NC"
"400","Nashville-Davidson--Murfreesboro, TN"
"404","New Bern-Morehead City, NC"
"406","New Orleans-Metairie-Hammond, LA-MS"
"408","New York-Newark, NY-NJ-CT-PA"
"412","North Port-Sarasota, FL"
"416","Oklahoma City-Shawnee, OK"
"420","Omaha-Council Bluffs-Fremont, NE-IA"
"422","Orlando-Deltona-Daytona Beach, FL"
"423","Oskaloosa-Pella, IA"
"424","Paducah-Mayfield, KY-IL"
"425","Parkersburg-Marietta-Vienna, WV-OH"
"426","Pensacola-Ferry Pass, FL-AL"
"427","Peoria-Canton, IL"
"428","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
"430","Pittsburgh-New Castle-Weirton, PA-OH-WV"
"434","Ponce-Coamo-Santa Isabel, PR"
"438","Portland-Lewiston-South Portland, ME"
"440","Portland-Vancouver-Salem, OR-WA"
"444","Pueblo-CaÃ±on City, CO"
"446","Pullman-Moscow, WA-ID"
"448","Quincy-Hannibal, IL-MO"
"450","Raleigh-Durham-Chapel Hill, NC"
"452","Rapid City-Spearfish, SD"
"454","Redding-Red Bluff, CA"
"456","Reno-Carson City-Fernley, NV"
"458","Richmond-Connersville, IN"
"462","Rochester-Austin, MN"
"464","Rochester-Batavia-Seneca Falls, NY"
"466","Rockford-Freeport-Rochelle, IL"
"468","Rocky Mount-Wilson-Roanoke Rapids, NC"
"470","Rome-Summerville, GA"
"472","Sacramento-Roseville, CA"
"474","Saginaw-Midland-Bay City, MI"
"476","St. Louis-St. Charles-Farmington, MO-IL"
"482","Salt Lake City-Provo-Orem, UT"
"488","San Jose-San Francisco-Oakland, CA"
"490","San Juan-Carolina, PR"
"496","Savannah-Hinesville-Statesboro, GA"
"500","Seattle-Tacoma, WA"
"512","Sioux City-Vermillion, IA-SD-NE"
"515","South Bend-Elkhart-Mishawaka, IN-MI"
"518","Spokane-Spokane Valley-Coeur d^Alene, WA-ID"
"520","Springfield-Branson, MO"
"521","Springfield-Greenfield Town, MA"
"522","Springfield-Jacksonville-Lincoln, IL"
"524","State College-DuBois, PA"
"532","Syracuse-Auburn, NY"
"533","Tallahassee-Bainbridge, FL-GA"
"534","Toledo-Port Clinton, OH"
"536","Tucson-Nogales, AZ"
"538","Tulsa-Muskogee-Bartlesville, OK"
"540","Tyler-Jacksonville, TX"
"544","Victoria-Port Lavaca, TX"
"545","Virginia Beach-Norfolk, VA-NC"
"546","Visalia-Porterville-Hanford, CA"
"548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"554","Wausau-Stevens Point-Wisconsin Rapids, WI"
"556","Wichita-Arkansas City-Winfield, KS"
"558","Williamsport-Lock Haven, PA"
"566","Youngstown-Warren, OH-PA"
